date,ingredient,students_present,meals_served,opening_stock,received_quantity,closing_stock,consumption,day_of_week,month,holiday,current_stock,minimum_stock
2025-04-01,Rice,462,462,420.0,0.0,197.22,222.78,Tuesday,4,0,197.22,100
2025-04-01,Dal,462,462,140.0,0.0,77.78,62.22,Tuesday,4,0,77.78,35
2025-04-01,Wheat,462,462,245.0,0.0,122.93,122.07,Tuesday,4,0,122.93,60
2025-04-01,Oil,462,462,56.0,0.0,29.53,26.47,Tuesday,4,0,29.53,15
2025-04-02,Rice,446,446,197.22,610.25,600.0,207.47,Wednesday,4,0,600.0,100
2025-04-02,Dal,446,446,77.78,186.87,200.0,64.65,Wednesday,4,0,200.0,35
2025-04-02,Wheat,446,446,122.93,338.57,350.0,111.5,Wednesday,4,0,350.0,60
2025-04-02,Oil,446,446,29.53,74.82,80.0,24.35,Wednesday,4,0,80.0,15
2025-04-03,Rice,406,406,600.0,0.0,415.32,184.68,Thursday,4,0,415.32,100
2025-04-03,Dal,406,406,200.0,0.0,143.34,56.66,Thursday,4,0,143.34,35
2025-04-03,Wheat,406,406,350.0,0.0,239.14,110.86,Thursday,4,0,239.14,60
2025-04-03,Oil,406,406,80.0,0.0,58.09,21.91,Thursday,4,0,58.09,15
2025-04-04,Rice,435,435,415.32,0.0,219.74,195.58,Friday,4,0,219.74,100
2025-04-04,Dal,435,435,143.34,0.0,81.92,61.42,Friday,4,0,81.92,35
2025-04-04,Wheat,435,435,239.14,0.0,123.2,115.94,Friday,4,0,123.2,60
2025-04-04,Oil,435,435,58.09,0.0,32.02,26.07,Friday,4,0,32.02,15
2025-04-05,Rice,0,0,219.74,0.0,219.74,0.0,Saturday,4,0,219.74,100
2025-04-05,Dal,0,0,81.92,0.0,81.92,0.0,Saturday,4,0,81.92,35
2025-04-05,Wheat,0,0,123.2,0.0,123.2,0.0,Saturday,4,0,123.2,60
2025-04-05,Oil,0,0,32.02,0.0,32.02,0.0,Saturday,4,0,32.02,15
2025-04-06,Rice,0,0,219.74,0.0,219.74,0.0,Sunday,4,0,219.74,100
2025-04-06,Dal,0,0,81.92,0.0,81.92,0.0,Sunday,4,0,81.92,35
2025-04-06,Wheat,0,0,123.2,0.0,123.2,0.0,Sunday,4,0,123.2,60
2025-04-06,Oil,0,0,32.02,0.0,32.02,0.0,Sunday,4,0,32.02,15
2025-04-07,Rice,434,434,219.74,585.29,600.0,205.03,Monday,4,0,600.0,100
2025-04-07,Dal,434,434,81.92,178.37,200.0,60.29,Monday,4,0,200.0,35
2025-04-07,Wheat,434,434,123.2,341.66,350.0,114.86,Monday,4,0,350.0,60
2025-04-07,Oil,434,434,32.02,93.02,80.0,45.04,Monday,4,0,80.0,15
2025-04-08,Rice,442,442,600.0,0.0,397.21,202.79,Tuesday,4,0,397.21,100
2025-04-08,Dal,442,442,200.0,0.0,137.88,62.12,Tuesday,4,0,137.88,35
2025-04-08,Wheat,442,442,350.0,0.0,223.2,126.8,Tuesday,4,0,223.2,60
2025-04-08,Oil,442,442,80.0,0.0,53.35,26.65,Tuesday,4,0,53.35,15
2025-04-09,Rice,468,468,397.21,0.0,194.16,203.05,Wednesday,4,0,194.16,100
2025-04-09,Dal,468,468,137.88,0.0,74.48,63.4,Wednesday,4,0,74.48,35
2025-04-09,Wheat,468,468,223.2,0.0,102.61,120.59,Wednesday,4,0,102.61,60
2025-04-09,Oil,468,468,53.35,0.0,26.88,26.47,Wednesday,4,0,26.88,15
2025-04-10,Rice,454,454,194.16,613.95,600.0,208.11,Thursday,4,0,600.0,100
2025-04-10,Dal,454,454,74.48,190.65,200.0,65.13,Thursday,4,0,200.0,35
2025-04-10,Wheat,454,454,102.61,368.95,350.0,121.56,Thursday,4,0,350.0,60
2025-04-10,Oil,454,454,26.88,78.25,80.0,25.13,Thursday,4,0,80.0,15
2025-04-11,Rice,475,475,600.0,0.0,382.02,217.98,Friday,4,0,382.02,100
2025-04-11,Dal,475,475,200.0,0.0,134.96,65.04,Friday,4,0,134.96,35
2025-04-11,Wheat,475,475,350.0,0.0,217.12,132.88,Friday,4,0,217.12,60
2025-04-11,Oil,475,475,80.0,0.0,55.19,24.81,Friday,4,0,55.19,15
2025-04-12,Rice,0,0,382.02,0.0,382.02,0.0,Saturday,4,0,382.02,100
2025-04-12,Dal,0,0,134.96,0.0,134.96,0.0,Saturday,4,0,134.96,35
2025-04-12,Wheat,0,0,217.12,0.0,217.12,0.0,Saturday,4,0,217.12,60
2025-04-12,Oil,0,0,55.19,0.0,55.19,0.0,Saturday,4,0,55.19,15
2025-04-13,Rice,0,0,382.02,0.0,382.02,0.0,Sunday,4,0,382.02,100
